'bout	bˈaʊt
gymnasium	dʒɪmnˈeɪziəm
gymnasiums	dʒɪmnˈeɪziəmz
gymnast	dʒˈɪmnəst
gymnastic	dʒɪmnˈæstɪk
gymnastics	dʒɪmnˈæstɪks
gymnasts	dʒˈɪmnæsts
gyms	dʒˈɪmz
gyn	ɡˈaɪn
gyn	ɡˈɪn
gynecologic	ɡˌaɪnəkəlˈɑdʒɪk
gynecological	ɡˌaɪnəkəlˈɑdʒɪkəl
gynecologist	ɡˌaɪnəkˈɑlədʒəst
gynecologists	ɡˌaɪnəkˈɑlədʒəsts
gynecology	ɡˌaɪnəkˈɑlədʒi
gynex	dʒˈɪnəks
gyohten	ɡjˈoʊtən
gyosai	ɡjˈoʊsˌeɪ
gyp	dʒˈɪp
gypped	dʒˈɪpt
gypsies	dʒˈɪpsiz
gypsum	dʒˈɪpsəm
gypsum's	dʒˈɪpsəmz
gypsy	dʒˈɪpsi
gyr	dʒˈaɪɹ
gyrate	dʒˈaɪɹˌeɪt
gyrated	dʒˈaɪɹˌeɪtɪd
gyrates	dʒˈaɪɹˌeɪts
gyrating	dʒˈaɪɹˌeɪtɪŋ
gyration	dʒaɪɹˈeɪʃən
gyrations	dʒaɪɹˈeɪʃənz
gyro	dʒˈaɪɹˌoʊ
gyrocompass	dʒˈaɪɹoʊkˌʌmpəs
gyrodyne	dʒˈɪɹədaɪn
gyrodynes	dʒˈɪɹədaɪnz
gyropilot	dʒˈaɪɹoʊpˌaɪlət
gyros	dʒˈaɪɹˌoʊz
gyroscope	dʒˈaɪɹəskˌoʊp
gyroscopes	dʒˈaɪɹəskˌoʊps
gyroscopic	dʒˌaɪɹəskˈɑpɪk
gytha	dʒˈaɪðə
gyuhama	ɡjˌuhˈɑmə
h	ˈeɪtʃ
h's	ˈeɪtʃɪz
h.	ˈeɪtʃ
h.'s	ˈeɪtʃɪz
ha	hˈɑ
ha'aretz	həˈɑɹɛts
ha'aretz	hˈɑɹɛts
ha'etzni	həˈɛtsni
ha-ha	hˌɑhˈɑ
ha-ha-ha	hˌɑhˌɑhˈɑ
haab	hˈɑb
haack	hˈɑk
haacke	hˈɑk
haaf	hˈɑf
haag	hˈɑɡ
haagen	hˈɑɡən
haagenson	hˈɑɡɪnsən
haak	hˈɑk
haake	hˈɑk
haakenson	hˈɑkɪnsən
haaland	hˈɑlənd
haan	hˈɑn
haapala	hˌɑpˈɑlə
haar	hˈɑɹ
haas	hˈɑs
haase	hˈɑs
haass	hˈɑs
haavelmo	hˌɑvˈɛlmoʊ
habben	hˈæbən
habeas	hˈæbiəs
habeck	hˈɑbɛk
habecker	hˈæbɛkɚ
habeeb	hˈæbib
habegger	hˈæbɪɡɚ
habel	hˈæbəl
habenicht	hˈæbɪnɪkt
haber	hˈeɪbɚ
haberdashery	hˈæbɚdˌæʃɚi
haberer	hˈæbɚɚ
haberkorn	hˈæbɚkɚn
haberl	hˈæbɚl
haberland	hˈæbɚlənd
haberle	hˈæbɚəl
haberman	hˈeɪbɚmən
habermann	hˈeɪbɚmən
habermas	hˈɑbɚmˌɑs
habermehl	hˈæbɚməl
haberson	hˈeɪbɚsɪn
haberson	hˈæbɚsɪn
haberstroh	hɑbˈɛɹstɹoʊ
habib	həbˈib
habibi	həbˈibi
habibie	həbˈibi
habich	hˈæbɪk
habicht	hˈæbɪkt
habig	hˈæbɪɡ
habiger	hˈæbɪɡɚ
habit	hˈæbət
habitable	hˈæbətəbəl
habitat	hˈæbətˌæt
habitat's	hˈæbətˌæts
habitation	hˌæbətˈeɪʃən
habitats	hˈæbətˌæts
habits	hˈæbəts
habitual	həbˈɪtʃuəl
habitually	həbˈɪtʃuli
habitually	həbˈɪtʃuəli
habitues	hˈæbɪtʃuz
hable	hˈeɪbəl
habs	hˈæbz
habsburg	hˈæpsbɚɡ
haby	hˈeɪbi
habyarimana	hˌæbiɑɹimˈɑnə
habyarimana	hˌæbiɚimˈɑnˌɑ
hach	hˈætʃ
hachette	həʃˈɛt
hachey	hˈætʃi
hachtel	hˈæktəl
hacienda	hˌæsiˈɛndə
hack	hˈæk
hackathon	hˈækəθˌɔn
hackathorn	hˈækəθˌɝn
hackbart	hˈækbˌɑɹt
hackbarth	hˈækbˌɑɹθ
hackberry	hˈækbˌɛɹi
hacke	hˈæk
hacked	hˈækt
hackel	hˈækəl
hackenberg	hˈækənbɚɡ
hackensack	hˈækənsˌæk
hacker	hˈækɚ
hacker's	hˈækɚz
hackers	hˈækɚz
hackert	hˈækɚt
hackett	hˈækɪt
hackford	hˈækfɚd
hacking	hˈækɪŋ
hackl	hˈækəl
hackle	hˈækəl
hackleman	hˈækəlmən
hackler	hˈæklɚ
hackler	hˈækəlɚ
hackles	hˈækəlz
hackley	hˈækli
hackman	hˈækmən
hackman	hˈækmˌæn
hackmann	hˈækmən
hackmatack	hˈækmətˌæk
hackney	hˈækni
hackneyed	hˈæknid
hacks	hˈæks
hacksaw	hˈæksˌɔ
hackstaff	hˈækstˌæf
hackworth	hˈækwˌɝθ
had	hˈæd
hada	hˈɑdə
hadad	hˈædəd
hadar	hˈædˌɝ
hadaway	hˈɑdəweɪ
hadd	hˈæd
haddad	hˈædəd
haddan	hˈædən
haddaway	hˈædəweɪ
hadden	hˈædən
haddock	hˈædək
haddon	hˈædən
haddonfield	hˈædənfild
haddow	hˈædoʊ
hade	hˈeɪd
haden	hˈeɪdən
hader	hˈeɪdɚ
hades	hˈeɪdiz
hades	hˈeɪdz
hadfield	hˈædfˌild
hadid	hɑdˈid
hadleigh	hˈædlə
hadler	hˈeɪdlɚ
hadler	hˈeɪdəlɚ
hadley	hˈædli
hadline	hˈædlaɪn
hadlock	hˈædlək
hadn't	hˈædən
hadn't	hˈædənt
hadnot	hˈædnət
hadoop	hˈædˈup
hadoya	hədˈɔɪə
hadria	hˈædɹiə
hadrian	hˈeɪdɹiən
hadrian's	hˈeɪdɹiənz
hadron	hˈædɹˌɔn
hadsall	hˈædsəl
hadsell	hˈædsəl
hadson	hˈædsən
hadwin	hˈædwɪn
haeberle	hˈɛbɚəl
haecker	hˈɛkɚ
haefele	hˈɛfəl
haeffner	hˈɛfnɚ
haefner	hˈɛfnɚ
haegele	hˈɛɡəl
haeger	hˈɛɡɚ
haen	hˈin
haenel	hˈɛnəl
haering	hˈɑɚɪŋ
haertel	hˈɛɹtəl
haese	hˈis
haessly	hˈæsli
haeussler	hˈaʊslɚ
hafele	hˈæfəl
hafeman	hˈeɪfmən
hafen	hˈæfən
hafer	hˈeɪfɚ
hafey	hˈeɪfi
hafez	hˈɑfɛz
haff	hˈæf
haffey	hˈæfi
haffez	hˈɑfɛz
haffner	hˈæfnɚ
hafford	hˈæfɚd
hafif	hɑfˈif
hafif's	hɑfˈifs
hafley	hˈæfli
hafner	hˈæfnɚ
hafnia	hˈæfniə
hafnium	hˈæfniəm
haft	hˈæft
haft's	hˈæfs
haft's	hˈæfts
hafta	hˈæftə
hafts	hˈæfs
hafts	hˈæfts
hafts'	hˈæfs
hafts'	hˈæfts
hag	hˈæɡ
haga	hˈɑɡə
hagadorn	hˈæɡədɔɹn
hagaman	hˈæɡəmən
hagan	hˈeɪɡən
hagans	hˈeɪɡənz
hagar	hˈeɪɡɑɹ
hagar	hˈeɪɡɚ
hagarty	hˈæɡɑɹti
hagberg	hˈæɡbɚɡ
hage	hˈeɪdʒ
hagedorn	hˈæɡɪdɚn
hagee	hˈædʒi
hagel	hˈæɡəl
hagelin	hˈæɡɪlɪn
hageman	hˈeɪdʒmən
hagemann	hˈeɪdʒmən
hagemeier	hˈæɡɪmaɪɚ
hagemeister	hˈæɡɪmaɪstɚ
hagemeyer	hˈæɡɪmaɪɚ
hagen	hˈeɪɡən
hagenbuch	hˈæɡɪnbək
hagenlocker	hˈeɪɡənlˌɑkɚ
hagenow	hˈædʒɪnoʊ
hagens	hˈeɪɡənz
hager	hˈeɪɡɚ
hagerman	hˈeɪɡɚmən
hagerstown	hˈeɪɡɚztˌaʊn
hagerty	hˈædʒɚti
hagewood	hˈeɪdʒwʊd
hagey	hˈædʒi
hagfish	hˈæɡfɪʃ
hagg	hˈæɡ
haggadah	həɡˈʌdə
haggan	hˈæɡən
haggar	hˈæɡɚ
haggard	hˈæɡɚd
haggart	hˈæɡɚt
haggarty	hˈæɡˌɑɹti
hagge	hˈæɡ
haggerty	hˈæɡɚti
haggett	hˈæɡɪt
haggins	hˈæɡɪnz
haggis	hˈæɡəs
haggle	hˈæɡəl
haggled	hˈæɡəld
haggling	hˈæɡlɪŋ
haggling	hˈæɡəlɪŋ
hagglund	hˈæɡlənd
haggstrom	hˈæɡstɹəm
hagin	hˈædʒɪn
hagins	hˈædʒˌɪnz
hagins	hˈæɡɪnz
hagiography	hˌæɡiˈɑɡɹəfi
hagiwara	hˌɑɡɪwˈɑɹə
hagle	hˈeɪɡəl
hagler	hˈæɡlɚ
hagley	hˈæɡli
haglund	hˈæɡlənd
hagman	hˈæɡmən
hagmann	hˈæɡmən
hagner	hˈæɡnɚ
hagood	hˈæɡʊd
hagopian	həɡˈoʊpiən
hagstrom	hˈæɡstɹəm
hague	hˈeɪɡ
hagwood	hˈæɡwˌʊd
hagy	hˈeɪɡi
hah	hˈɑ
hahl	hˈɑl
hahm	hˈæm
hahn	hˈɑn
hahne	hˈeɪn
hahner	hˈɑnɚ
hahs	hˈɑs
haid	hˈeɪd
haida	hˈaɪdə
haidee	hˈeɪdi
haider	hˈeɪdɚ
haidet	hˈeɪdɪt
haifa	hˈaɪfə
haifong	hˈaɪfɔŋ
haig	hˈeɪɡ
haig's	hˈeɪɡz
haigh	hˈeɪ
haight	hˈeɪt
haigler	hˈeɪɡlɚ
haik	hˈeɪk
haiku	hˈaɪku
haikus	hˈaɪkuz
hail	hˈeɪl
hailand	hˈeɪlənd
haile	hˈaɪli
haile	hˈeɪl
hailed	hˈeɪld
hailes	hˈaɪliz
hailes	hˈeɪlz
hailey	hˈeɪli
hailing	hˈeɪlɪŋ
hails	hˈeɪlz
hailstone	hˈeɪlstˌoʊn
hailstones	hˈeɪlstˌoʊnz
hailstorm	hˈeɪlstˌɔɹm
haim	hˈeɪm
haimes	hˈeɪmz
haimovitch	hˈeɪməvɪtʃ
haimovitz	hˈeɪməvɪts
haimowitz	hˈaɪməwɪts
hain	hˈeɪn
hainan	hˈeɪnən
hainer	hˈeɪnɚ
haines	hˈeɪnz
hainey	hˈeɪni
hainley	hˈeɪnli
hainline	hˈeɪnlˌaɪn
hains	hˈeɪnz
hainsworth	hˈeɪnswɚθ
hair	hˈɛɹ
hair's	hˈɛɹz
haircut	hˈɛɹkˌʌt
haircuts	hˈɛɹkˌʌts
hairdo	hˈɛɹdˌu
hairdos	hˈɛɹdˌuz
hairdresser	hˈɛɹdɹˌɛsɚ
hairdressers	hˈɛɹdɹˌɛsɚz
hairdressing	hˈɛɹdɹˌɛsɪŋ
haire	hˈɛɹ
haired	hˈɛɹd
hairfield	hˈɛɹfˌild
hairgrove	hˈaɪɹɡɹəv
hairiness	hˈɛɹinəs
hairless	hˈɛɹləs
hairline	hˈɛɹlˌaɪn
hairr	hˈɛɹ
hairs	hˈɛɹz
hairspray	hˈɛɹspɹˌeɪ
hairston	hˈaɪɹstən
hairstyle	hˈɛɹstˌaɪl
hairy	hˈɛɹi
haisley	hˈeɪzli
haislip	hˈaɪslɪp
haist	hˈɑɪst
hait	hˈeɪt
haith	hˈeɪθ
haithcock	hˈeɪθkˌɑk
haiti	hˈeɪti
haiti's	hˈeɪtiz
haitian	hˈeɪʃən
haitians	hˈeɪʃənz
haitien	hˈeɪʃən
haitiens	hˈeɪʃənz
haitis	hˈeɪtiz
haizlip	hˈeɪzlɪp
hajdu	hˈɑjdu
hajduk	hˈaɪdək
hajek	hˈaɪɛk
hajime	hɑdʒˈimi
hajj	hˈædʒ
hajjar	hɑjˈɑɹ
hakala	həkˈɑlə
hakan	hˈeɪkən
hakan	hˈɑkən
hakanson	hˈækənsən
hake	hˈeɪk
hakeem	hɑkˈim
hakeem's	hɑkˈimz
hakes	hˈeɪks
hakim	hɑkˈim
hakim	ɑkˈim
hakim's	hɑkˈimz
hakim's	ɑkˈimz
hakki	hˈæki
hakko	hˈækoʊ
hakon	hˈækən
hakuhodo	hˌɑkˌuhˈoʊdoʊ
hal	hˈæl
hal's	hˈælz
halama	hɑlˈɑmə
halamandaris	hˌæləmˈændɚɪs
halas	hˈɑləz
halasz	hˈɑləʃ
halbach	hˈælbɑk
halberg	hˈælbɚɡ
halberstadt	hˈælbɚʃtæt
halberstam	hˈælbɚstæm
halbert	hˈælbɚt
halbig	hˈælbɪɡ
halbrook	hˈælbɹʊk
halbrooks	hˈælbɹʊks
halbur	hˈælbɚ
halbutogullari	hælbˌutˌoʊɡulˈɑɹi
halcion	hˈælsiən
halcion's	hˈælsiənz
halcomb	hˈælkəm
halcyon	hˈælsiən
halcyone	hˈælsioʊn
hald	hˈɔld
haldan	hˈældən
haldana	həldˈænə
haldeman	hˈɑldmən
haldeman	hˈɑldəmən
haldeman's	hˈɑldmənz
haldeman's	hˈɑldəmənz
halden	hˈɔldən
halder	hˈɔldɚ
halderman	hˈɔldɚmən
hale	hˈeɪl
hale's	hˈeɪlz
halebopp	haɪlbˈɔp
halen	hˈeɪlɛn
hales	hˈeɪlz
halevi	həlˈeɪvi
halevi	həlˈivi
haley	hˈeɪli
haley's	hˈeɪliz
half	hˈæf
half's	hˈæfs
half-baked	hˈæfbˌeɪkt
half-cock	hˈæfkˌɑk
half-cocked	hˈæfkˌɑkt
half-dozen	hˈæfdˌʌzən
half-hearted	hˈæfhˌɑɹtɪd
half-hour	hˈæfˌaʊɚ
half-time	hˈæftˌaɪm
halfacre	hˈæfˌeɪkɚ
halfback	hˈæfbˌæk
halfbacks	hˈæfbˌæks
halfdan	hˈælfdən
halferty	hˈæfɚti
halfhearted	hˈæfhˌɑɹtɪd
halfhill	hˈæfhˌɪl
halfman	hˈæfmən
halfmann	hˈæfmən
halford	hˈæfɚd
halfrida	hˈæfɹɪdə
halftime	hˈæftˌaɪm
halftimes	hˈæftˌaɪmz
halftone	hˈæftˌoʊn
halftones	hˈæftˌoʊnz
halfway	hˈæfwˈeɪ
halfwit	hˈæfwɪt
halfwits	hˈæfwɪts
halgren	hˈælɡɹɛn
haliburton	hˈælɪbˌɝtən
halibut	hˈæləbət
halide	hˈælˌaɪd
halifa	həlˈifə
halifax	hˈælɪfˌæks
halik	hˈælɪk
halima	həlˈimə
halimeda	hɑlimˈeɪdə
halite	hˈælaɪt
halko	hˈælkoʊ
hall	hˈɔl
hall's	hˈɔlz
halla	hˈælə
halladay	hˈælədˌeɪ
hallahan	hˈæləhæn
hallam	hˈæləm
hallanan	hˈælənən
hallandale	hˈæləndˌeɪl
hallas	hˈæləz
hallauer	hˈælaʊɚ
hallbauer	hˈɔlbˌaʊɹ
hallberg	hˈɔlbɚɡ
halle	hˈæl
halleck	hˈælɪk
hallelujah	hˌæləlˈujə
hallen	hˈɔlən
hallenbeck	hˈɔlənbˌɛk
haller	hˈɔlɚ
halleran	hˈælɚæn
hallet	hˈælɪt
hallett	hˈælɪt
halley	hˈæli
hallford	hˈælfɚd
hallgarten	hˈɔlɡˌɑɹtən
hallgren	hˈælɡɹɛn
halliburton	hˈælɪbˌɝtən
halliburton's	hˈælɪbˌɝtənz
halliciforn	həlˈɪsɪfɔɹn
halliday	hˈælɪdˌeɪ
hallie	hˈɔli
halligan	hˈælɪɡən
hallin	hˈælɪn
hallinan	hˈælɪnən
halling	hˈɔlɪŋ
hallingby	hˈɔlɪŋbi
hallisey	hˈælɪsi
hallman	hˈɔlmən
hallmark	hˈɑlmˌɑɹk
hallmark's	hˈɔlmˌɑɹks
hallmarks	hˈɔlmˌɑɹks
hallock	hˈælək
halloran	hˈælɚən
hallow	hˈæloʊ
halloway	hˈæloʊwˌeɪ
hallowe'en	hˌæləwˈin
hallowed	hˈæloʊd
halloween	hˌæləwˈin
halloween's	hˌæləwˈinz
hallowell	hˈæləwɛl
hallows	hˈæloʊz
hallquist	hˈælkwɪst
halls	hˈɔlz
hallstrom	hˈælstɹəm
hallucinate	həlˈusəneɪt
hallucinated	həlˈusəneɪtɪd
hallucinates	həlˈusəneɪts
hallucinating	həlˈusəneɪtɪŋ
hallucinating	həlˈusɪneɪtɪŋ
hallucination	həlˌusənˈeɪʃən
hallucinations	həlˌusənˈeɪʃənz
hallucinatory	həlˈusənətˌɔɹi
hallucinogenic	həlˌusənədʒˈɛnɪk
hallum	hˈæləm
hallums	hˈæləmz
hallward	hˈɔlwɚd
hallway	hˈɔlwˌeɪ
hallways	hˈɔlwˌeɪz
hallwood	hˈɔlwˌʊd
hally	hˈæli
halm	hˈɑm
halmi	hˈɔlmi
halmos	hˈɔlmoʊs
halmstad	hˈɑlmstˌæd
halo	hˈeɪloʊ
halogen	hˈælədʒən
halogenate	hˈælədʒənˌeɪt
halogenated	hˈælədʒənˌeɪtɪd
halon	hˈeɪlˌɑn
halophytic	hˌæləfˈɪtɪk
halos	hˈeɪloʊz
halper	hˈælpɚ
halperin	hˈælpɚɪn
halperin	hˈælpɹɪn
halpern	hˈælpɚn
halperstant	hˈælpɚstənt
halpert	hˈælpɚt
halpin	hˈælpɪn
halprin	hˈælpɹɪn
halsell	hˈælsəl
halseth	hˈælsɪθ
halsey	hˈælsi
halstead	hˈælstɛd
halsted	hˈælstɪd
halston	hˈɔlstən
halston's	hˈɔlstənz
halt	hˈɔlt
halted	hˈɔltəd
halted	hˈɔltɪd
halteman	hˈeɪltmən
halter	hˈɔltɚ
halter's	hˈɔltɚz
halterman	hˈɔltɚmən
halters	hˈɔltɚz
halting	hˈɔltɪŋ
haltingly	hˈɔltɪŋli
haltiwanger	hˈæltɪwəŋɚ
haltom	hˈæltəm
halton	hˈæltən
halts	hˈɔlts
haluska	həlˈʌskə
halve	hˈæv
halved	hˈævd
halverson	hˈælvɚsən
halves	hˈævz
halving	hˈævɪŋ
halvorsen	hælvˈɔɹsən
halvorson	hˈælvɚsən
ham	hˈæm
hama	hˈɑmə
hamacher	hˈæməkɚ
hamad	hˈæməd
hamada	hɑmˈɑdə
hamadei	hˈæmədˌeɪ
hamadi	həmˈɑdi
hamaker	hˈɑmeɪkɚ
hamal	hˈeɪməl
hamamoto	hɑmɑmˈoʊtoʊ
haman	hˈeɪmən
hamanaka	həmənˈɑkə
hamann	hˈɑmən
hamar	həmˈɑɹ
hamas	hˌɑmˈɑs
hamas'	hˌɑmˈɑs
hamasaki	hˌɑmɑsˈɑki
hambelton	həmbˈɛltən
hamberg	hˈæmbɚɡ
hamberger	hˈæmbɚɡɚ
hamblen	hˈæmbələn
hamblet	hˈæmblɪt
hambleton	hˈæmbəltɑn
hambley	hˈæmbli
hamblin	hˈæmblɪn
hambly	hˈæmbli
hambrecht	hˈæmbɹˌɛkt
hambrick	hˈæmbɹˌɪk
hambright	hˈæmbɹˌaɪt
hambro	hˈæmbɹoʊ
hambros	hˈæmbɹoʊs
hamburg	hˈæmbɚɡ
hamburger	hˈæmbɚɡɚ
hamburgers	hˈæmbɚɡɚz
hamby	hˈæmbi
hamdan	hˈæmdən
hamdoon	hæmdˈun
hamdun	hˈæmdən
hamed	hˈæmd
hameister	hˈæmaɪstɚ
hamel	hˈæməl
hamelin	hˈæmlˌɪn
hamelin	hˈæməlɪn
hamer	hˈæmɚ
hames	hˈeɪmz
hamid	həmˈid
hamiel	hˈæmil
hamil	hˈæməl
hamill	hˈæməl
hamilton	hˈæməltən
hamilton's	hˈæməltənz
hamiltonian	hˈæməltˌoʊnjən
hamiltons	hˈæməltənz
hamish	hˈæmɪʃ
hamiter	hˈæmaɪtɚ
hamitic	hæmˈɪtɪk
hamler	hˈæmlɚ
hamler	hˈæməlɚ
hamlet	hˈæmlɪt
hamlets	hˈæmləts
hamlett	hˈæmlɪt
hamley	hˈæmli
hamley's	hˈæmliz
hamlin	hˈæmlɪn
hamling	hˈæmlɪŋ
hamlisch	hˈæmlɪʃ
hamlisch's	hˈæmlɪʃəz
hamm	hˈæm
hammac	hˈæmək
hammacher	hˈæmˌɑkɚ
hammack	hˈæmək
hammaker	hˈæmˌeɪkɚ
hamman	hˈæmən
hammann	hˈæmən
hammar	hˈæmɚ
hammas	həmˈɑs
hammas'	həmˈɑs
hammas's	həmˈɑsɪs
hamme	hˈæm
hammel	hˈæməl
hammell	hˈæməl
hammen	hˈæmən
hammer	hˈæmɚ
hammer's	hˈæmɚz
hammered	hˈæmɚd
hammering	hˈæmɚɪŋ
hammerle	hˈæmɚəl
hammerlock	hˈæmɚlˌɑk
hammerman	hˈæmɚmən
hammermeister	hˈæmɚmˌaɪstɚ
hammermill	hˈæmɚmˌɪl
hammers	hˈæmɚz
hammerschmidt	hˈæmɚʃmˌɪt
hammersley	hˈæmɚsli
hammersmith	hˈæmɚsmˌɪθ
hammerson	hˈæmɚsən
hammerstein	hˈæmɚstˌaɪn
hammerstein's	hˈæmɚstˌaɪnz
hammerstein's	hˈæmɚstˌinz
hammerstrom	hˈæmɚstɹəm
hammes	hˈæmz
hammett	hˈæmɪt
hammill	hˈæməl
hammitt	hˈæmɪt
hammock	hˈæmək
hammocks	hˈæməks
hammon	hˈæmən
hammond	hˈæmənd
hammonds	hˈæməndz
hammons	hˈæmənz
hammontree	hæməntɹˈi
hammurabi	hˈæməɹˌɑbˌi
hamner	hˈæmnɚ
hamon	hˈæmən
hamor	hˈæmɚ
hamp	hˈæmp
hampe	hˈæmp
hampel	hˈæmpəl
hamper	hˈæmpɚ
hampered	hˈæmpɚd
hampering	hˈæmpɚɪŋ
hampers	hˈæmpɚz
hample	hˈæmpəl
hampshire	hˈæmpʃɚ
hampshire's	hˈæmpʃaɪɚz
hampshire's	hˈæmpʃɚz
hampshire's	hˈæmʃaɪɚz
hampshire's	hˈæmʃɚz
hampshirites	hˈæmpʃɚˌaɪts
hampson	hˈæmpsən
hampstead	hˈæmpstˌɛd
hampton	hˈæmptən
hampton's	hˈæmptənz
hamptons	hˈæmptənz
hamptonshire	hˈæmptənʃɚ
hamptonshire's	hˈæmptənʃɚz
hamre	hˈæmɚ
hamric	hˈæmɹɪk
hamrick	hˈæmɹɪk
hamrock	hˈæmɹˌɑk
hams	hˈæmz
hamsher	hˈæmʃɚ
hamson	hˈæmsən
hamsphire	hˈæmsfˌaɪɹ
hamster	hˈæmstɚ
hamsters	hˈæmstɚz
hamstra	hˈæmstɹə
hamstring	hˈæmstɹˌɪŋ
hamstrings	hˈæmstɹˌɪŋz
hamstrung	hˈæmstɹəŋ
hamtramck	hæmtɹˈæmɪk
han	hˈæn
han's	hˈænz
han's	hˈɑnz
hana	hˈænə
hanafin	hˈænəfɪn
hanagan	hɑnˈɑɡɑn
hanahan	hˈænəhæn
hanak	hˈɑnək
hanan	hˈeɪnən
hanas	hˈænəz
hanauer	hˈænaʊɚ
hanawalt	hˈænəwˌɔlt
hanaway	hˈænəweɪ
hanback	hˈænbˌæk
hanberry	hˈænbˌɛɹi
hanbo	hˈænboʊ
hanbury	hˈænbˌɛɹi
hanby	hˈænbi
hance	hˈæns
hancher	hˈæntʃɚ
hanchett	hˈæntʃɪt
hanchey	hˈæntʃi
hancock	hˈænkˌɑk
hancock's	hˈænkˌɑks
hancox	hˈænkɑks
hand	hˈænd
hand's	hˈændz
hand-held	hˈændhˌɛld
handa	hˈændə
handbag	hˈændbˌæɡ
handbags	hˈændbˌæɡz
handball	hˈændbˌɔl
handballs	hˈændbˌɔlz
handbill	hˈændbˌɪl
handbills	hˈændbˌɪlz
handbook	hˈændbˌʊk
handbooks	hˈændbˌʊks
handclasp	hˈændklˌæsp
handcraft	hˈændkɹˌæft
handcrafted	hˈændkɹˌæftɪd
handcrafts	hˈændkɹˌæfts
handcuff	hˈændkˌʌf
handcuffed	hˈændkˌʌft
handcuffing	hˈændkˌʌfɪŋ
handcuffs	hˈændkˌʌfs
handed	hˈændəd
handed	hˈændɪd
handedly	hˈændɪdli
handedness	hˈændədnəs
handel	hˈændəl
handel's	hˈændəlz
handeland	hˈændɪlənd
handelman	hˈændəlmən
handels	hˈændəlz
handelsbank	hˈændəlzbˌæŋk
handelsbanken	hˌændəlsbˈæŋkən
handelsman	hˈændɪlsmən
hander	hˈændɚ
handers	hˈændɚz
handford	hˈændfɚd
handful	hˈændfˌʊl
handfuls	hˈændfˌʊlz
handgun	hˈændɡˌʌn
handguns	hˈændɡˌʌnz
handheld	hˈændhˈɛld
handhold	hˈændhˌoʊld
handholding	hˈændhˌoʊldɪŋ
handicap	hˈændikˌæp
handicapped	hˈændikˌæpt
handicapper	hˈændikˌæpɚ
handicappers	hˈændikˌæpɚz
handicapping	hˈændikˌæpɪŋ
handicaps	hˈændikˌæps
handicraft	hˈændikɹˌæft
handicrafts	hˈændikɹˌæfts
handier	hˈændiɚ
handiest	hˈændiəst
handily	hˈændəli
handing	hˈændɪŋ
handiwork	hˈændiwˌɝk
handke	hˈændki
handkerchief	hˈæŋkɚtʃif
handkerchief	hˈæŋkɚtʃɪf
handkerchiefs	hˈæŋkɚtʃifs
handkerchiefs	hˈæŋkɚtʃəfs
handle	hˈændəl
handlebar	hˈændəlbˌɑɹ
handlebars	hˈændəlbˌɑɹz
handled	hˈændəld
handler	hˈændlɚ
handlers	hˈændlɚz
handles	hˈændəlz
handley	hˈændli
handlin	hˈændlɪn
handling	hˈændlɪŋ
handlon	hˈændlən
handloom	hˈændlˌum
handlooms	hˈændlˌumz
handly	hˈændli
handmade	hˈændmˈeɪd
handmade	hˈænmˈeɪd
handout	hˈændˌaʊt
handouts	hˈændˌaʊts
handover	hˈændoʊvɚ
handpick	hˈændpˈɪk
handpicked	hˈændpˈɪkt
handrail	hˈændɹˌeɪl
handrails	hˈændɹˌeɪlz
handrich	hˈændɹɪk
handros	hˈændɹoʊs
hands	hˈændz
hands-on	hˌænzˈɔn
handsaw	hˈændsˌɔ
handsaws	hˈændsˌɔz
handset	hˈændsˌɛt
handsets	hˈændsˌɛts
handshake	hˈændʃˌeɪk
handshakes	hˈændʃˌeɪks
handshaking	hˈændʃˌeɪkɪŋ
handsome	hˈænsəm
handsomely	hˈænsəmli
handstand	hˈændstˌænd
handstands	hˈændstˌændz
handwerk	hˈændwɚk
handwerker	hˈændwɚkɚ
handwoven	hˈændwˈoʊvən
handwoven	hˈænwˈoʊvən
handwriting	hˈændɹˌaɪtɪŋ
handwritten	hˈændɹˌɪtən
handy	hˈændi
handyman	hˈændimˌæn
handymen	hˈændimˈɛn
hane	hˈeɪn
haneda	hənˈeɪdə
hanel	hˈænəl
haneline	hˈænɪlˌaɪn
hanemann	hˈeɪnmən
haner	hˈeɪnɚ
hanes	hˈeɪnz
haney	hˈeɪni
hanf	hˈænf
hanford	hˈænfɚd
hanft	hˈænft
hang	hˈæŋ
hangar	hˈæŋɚ
hangars	hˈæŋɚz
hangartner	hˈæŋɡɑɹtnɚ
hanged	hˈæŋd
hangen	hˈæŋən
hanger	hˈæŋɚ
hangers	hˈæŋɚz
hangin'	hˈæŋɡɪn
hanging	hˈæŋɪŋ
hangings	hˈæŋɡɪŋz
hangman	hˈæŋmən
hangout	hˈæŋˌaʊt
hangouts	hˈæŋˌaʊts
hangover	hˈæŋˌoʊvɚ
hangovers	hˈæŋˌoʊvɚz
hangs	hˈæŋz
hangsang	hˈæŋsˌæŋ
hangsang's	hˈæŋsˌæŋz
hangul	hˈænɡˌʊl
hangup	hˈæŋɡˌʌp
hangups	hˈæŋɡˌʌps
hani	hˈæni
hani's	hˈæniz
hanifen	hˈænɪfən
hanifin	hˈænɪfɪn
hanigan	hˈænɪɡən
haning	hˈeɪnɪŋ
hanisch	hˈænɪʃ
hanisee	hˈænɪsi
hanish	hˈænɪʃ
hanjin	hˈændʒɪn
